cqa,best_q_prec,best_q_fmeasure,best_q_rec
paper,1.0,0.7536231884057971,0.6046511627906976
paper_presentation,1.0,1.0,1.0
conference_end_date,1.0,1.0,1.0
conference,1.0,1.0,1.0
presenter,1.0,1.0,1.0
conference_name,1.0,1.0,1.0
participant,0.0,0.0,0.0
person,1.0,1.0,1.0
paper_submitted_at_conference,1.0,0.7536231884057971,0.6046511627906976
review,1.0,1.0,1.0
is_author_of_paper,0.25994227669702763,0.41262569167608737,1.0
topic,1.0,1.0,1.0
author,1.0,0.0024330900243309,0.001218026796589525
person_first_name,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
presentation_in_conference,1.0,1.0,1.0
presentation_of_paper,0.08723958333333333,0.16047904191616766,1.0
conference_camera_date,1.0,1.0,1.0
conference_start_date,1.0,1.0,1.0
workshop,1.0,1.0,1.0
reviewers_all,1.0,1.0,1.0
presenter_of_paper_presentation,0.0,0.0,0.0
conference_paper_date,1.0,1.0,1.0
accepted_paper,1.0,1.0,1.0
person_last_name,1.0,1.0,1.0
paper_title,1.0,0.7536231884057971,0.6046511627906976
all_reviewer_author_of_review,0.0,0.0,0.0
person_name,1.0,1.0,1.0
global mean,0.8338279235725129,0.7798716924583563,0.8148275541131672

