Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.20755430549679932
Epoch: 0 Idx: 1000 Loss: 0.02560442895349779
Epoch: 0 Idx: 2000 Loss: 0.011517422273148056
Epoch: 0 Idx: 3000 Loss: 0.006723009475048058
Epoch: 0 Idx: 4000 Loss: 0.040075376111235135
Epoch: 0 Idx: 5000 Loss: 0.01933612534057497
Epoch: 0 Idx: 6000 Loss: 0.036375039425813493
Epoch: 0 Idx: 7000 Loss: 0.009760108785034633
Epoch: 0 Idx: 8000 Loss: 0.044257463581507686
Epoch: 0 Idx: 9000 Loss: 0.0378972316860093
Epoch: 0 Idx: 10000 Loss: 0.03868315036174532
Epoch: 0 Idx: 11000 Loss: 0.0041193516460660455
Epoch: 1 Idx: 0 Loss: 0.009535929056874688
Epoch: 1 Idx: 1000 Loss: 0.02020642208001259
Epoch: 1 Idx: 2000 Loss: 0.08229452569141117
Epoch: 1 Idx: 3000 Loss: 0.03596125569789811
Epoch: 1 Idx: 4000 Loss: 0.01453447936912479
Epoch: 1 Idx: 5000 Loss: 0.008686083862085494
Epoch: 1 Idx: 6000 Loss: 0.052245154949684555
Epoch: 1 Idx: 7000 Loss: 0.020579621616369725
Epoch: 1 Idx: 8000 Loss: 0.003309239594766235
Epoch: 1 Idx: 9000 Loss: 0.00500281309688345
Epoch: 1 Idx: 10000 Loss: 0.022358831321798025
Epoch: 1 Idx: 11000 Loss: 0.007212897797211633
Epoch: 2 Idx: 0 Loss: 0.004251848454822684
Epoch: 2 Idx: 1000 Loss: 0.007821430892529714
Epoch: 2 Idx: 2000 Loss: 0.01792048480334358
Epoch: 2 Idx: 3000 Loss: 0.03398326179475032
Epoch: 2 Idx: 4000 Loss: 0.01463097500660637
Epoch: 2 Idx: 5000 Loss: 0.026594022691186416
Epoch: 2 Idx: 6000 Loss: 0.011423273719219236
Epoch: 2 Idx: 7000 Loss: 0.005062572705786293
Epoch: 2 Idx: 8000 Loss: 0.04049655411578007
Epoch: 2 Idx: 9000 Loss: 0.01734236377407258
Epoch: 2 Idx: 10000 Loss: 0.01186293353280982
Epoch: 2 Idx: 11000 Loss: 0.020485415039003807
Epoch: 3 Idx: 0 Loss: 0.014242571280629454
Epoch: 3 Idx: 1000 Loss: 0.02836734997651513
Epoch: 3 Idx: 2000 Loss: 0.01178811024231633
Epoch: 3 Idx: 3000 Loss: 0.01390270474570161
Epoch: 3 Idx: 4000 Loss: 0.07384624591274978
Epoch: 3 Idx: 5000 Loss: 0.02472054780889803
Epoch: 3 Idx: 6000 Loss: 0.015413133558332837
Epoch: 3 Idx: 7000 Loss: 0.014326586194257295
Epoch: 3 Idx: 8000 Loss: 0.0030725839733905594
Epoch: 3 Idx: 9000 Loss: 0.059222909635370975
Epoch: 3 Idx: 10000 Loss: 0.0037500856086065105
Epoch: 3 Idx: 11000 Loss: 0.012010171899486595
Epoch: 4 Idx: 0 Loss: 0.019279380725719775
Epoch: 4 Idx: 1000 Loss: 0.04551498726429325
Epoch: 4 Idx: 2000 Loss: 0.006518985166456239
