cqa,best_q_prec,best_q_fmeasure,best_q_rec
track,1.0,1.0,1.0
conference_proceedings,0.0,0.0,0.0
paper,0.0,0.0,0.0
paper_presentation,1.0,1.0,1.0
external_reviewer,0.5991024682124159,0.7492984097287185,1.0
conference,0.0,0.0,0.0
proceedings_publisher,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
participant,0.9370212765957446,0.9674868189806678,1.0
late_registered_participant,0.0,0.0,0.0
person,1.0,1.0,1.0
conference_proceedings_name,0.0,0.0,0.0
track_of_conference,0.0,0.0,0.0
early_registration,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
invite_reviewer,0.0,0.0,0.0
review_of_paper,1.0,1.0,1.0
review,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
workshop_chair,0.0,0.0,0.0
early_registered_participant,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
topic,1.0,1.0,1.0
oc_member,1.0,1.0,1.0
sc_member,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
invited_talk_abstract,1.0,1.0,1.0
invited_speaker_of_talk,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
invited_speaker,0.0,0.0,0.0
assigned_reviewer,1.0,1.0,1.0
author_of_inv_talk_abstract,0.0,0.0,0.0
conference_site,0.0,0.0,0.0
author,1.0,0.8745716244002741,0.7771010962241169
abstract_of_invited_talk,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
presentation_in_conference,0.0,0.0,0.0
invited_talk,1.0,1.0,1.0
presentation_of_paper,1.0,1.0,1.0
pc_member,0.23157894736842105,0.06973058637083994,0.041044776119402986
tutorial_topic,1.0,1.0,1.0
workshop,1.0,1.0,1.0
workshop_topic,0.0,0.0,0.0
reviewers_all,1.0,1.0,1.0
publisher,1.0,1.0,1.0
accepted_paper,1.0,1.0,1.0
regular_paper,0.6046511627906976,0.7536231884057971,1.0
paper_title,1.0,1.0,1.0
chair_of_workshop,0.0,0.0,0.0
oc_chair,0.0,0.0,0.0
all_reviewer_author_of_review,0.0,0.0,0.0
person_name,0.0,0.0,0.0
tutorial_of_conference,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
workshop_of_conference,0.0,0.0,0.0
global mean,0.45307774741013,0.4538341183551125,0.4610383191489914

